0: 22912,7560,3076,65035,96,81,51,65369,65491
1: 22864,7520,3152,65043,81,81,46,65368,65492
2: 22904,7512,3188,65029,74,97,44,65370,65496
3: 22936,7480,3108,65023,48,117,45,65373,65487
4: 22936,7520,3096,65046,72,97,56,65366,65494
5: 22492,7476,3736,65086,36,65340,47,65371,65491
6: 23028,7744,2904,65131,83,141,49,65365,65495
7: 23012,7644,3500,64994,34,228,49,65363,65491
8: 22956,7292,3056,64944,72,65533,50,65366,65490
9: 22992,7404,3228,65118,123,162,47,65363,65495
10: 22776,7424,3284,65078,87,104,49,65367,65501
11: 22756,7604,2972,65017,92,96,49,65369,65491
12: 22868,7552,3068,65016,61,65523,46,65368,65492
13: 22948,7596,3016,65045,65,114,47,65365,65495
14: 22884,7480,3232,65038,28,101,50,65366,65494
15: 22828,7484,3096,65080,90,151,53,65369,65495
16: 22800,7544,3372,65059,68,79,53,65369,65491
17: 22880,7468,3332,65031,97,93,54,65364,65494
18: 23044,7436,3160,64978,53,40,49,65365,65493
19: 22824,7568,2988,65025,41,79,51,65369,65491
20: 22792,7476,3080,65079,89,131,52,65370,65490
21: 22744,7532,3364,65100,109,159,57,65371,65491
22: 22836,7484,3108,64980,17,41,49,65365,65493
23: 22960,7452,3232,65023,81,102,53,65371,65489
24: 22956,7344,3264,65013,69,65,49,65369,65491
25: 22868,7600,3264,65049,86,118,51,65367,65493
26: 22848,7440,3084,65096,125,155,45,65367,65495
27: 22940,7452,3268,64990,39,26,47,65365,65495
28: 22828,7448,3048,64954,48,65496,51,65365,65491
29: 22896,7484,3120,65095,98,170,51,65363,65487
30: 22768,7472,3232,65023,82,70,49,65369,65491
31: 22868,7560,3172,65076,96,144,50,65366,65488
32: 22976,7476,3280,65058,93,123,46,65368,65494
33: 22960,7484,3256,65002,45,25,51,65369,65489
34: 22896,7492,3108,65034,63,110,51,65367,65497
35: 22904,7516,3240,65065,99,123,51,65369,65493
36: 22864,7496,3100,65061,81,125,52,65366,65496
37: 22812,7412,3176,65063,54,108,53,65365,65489
38: 22836,7464,3264,64999,51,29,48,65366,65490
39: 22904,7508,3192,65015,52,59,47,65371,65491
40: 22936,7528,3148,65071,82,147,48,65372,65488
41: 22968,7504,3208,65071,107,140,47,65365,65493
42: 22892,7508,3180,65024,80,78,55,65367,65487
43: 22848,7496,3192,65014,46,64,52,65366,65498
44: 22944,7600,3208,65037,65,109,47,65363,65491
45: 22904,7484,3260,65047,87,104,49,65369,65495
46: 22768,7512,3108,65058,79,96,48,65366,65486
47: 22888,7548,3252,65035,70,100,47,65365,65493
48: 22964,7448,3228,65021,60,78,47,65371,65489
49: 22908,7504,3168,65026,48,88,55,65369,65493
50: 22868,7468,3100,65060,88,111,51,65365,65491
51: 22904,7408,3124,65050,84,88,49,65365,65487
52: 22832,7472,3344,65027,82,82,49,65369,65493
